0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0
[0.0796     2.71360173],[0.78129874 0.88219096],[0.95813418 0.40188956],[0.19571304 1.77931982],[1.08772268 0.42791373],[0.08347275 1.53451583],[0.8795797  0.48356505],[1.14518956 0.39560483],[0.21514894 2.19407795],[0.50990432 1.05998887]
[0.74849345 2.35226719],[0.25842842 2.39398244],[0.03095556 2.1866993 ],[0.09102485 1.83846945],[0.14426785 1.57108285],[0.94998391 0.3151497 ],[0.34006823 1.5719849 ],[1.03656834 0.93952237],[0.         2.28665543],[0.15761693 2.75006316]
[0.19722482 2.44720907],[0.31646568 2.29251411],[0.79240605 1.55931134],[0.27537443 1.5441526 ],[0.82919811 0.77895137],[0.8055679  0.61532587],[0.75788675 0.70803708],[0.39796524 2.11223833],[0.17815703 2.26592808],[0.55028648 0.82278274]
[1.61519099 1.05782852],[0.17618222 2.45462657],[0.34490548 2.09344319],[1.0475766 1.2446087],[0.4284461  0.81102312],[0.1045564  1.52408951],[0.01300332 1.93969109],,[0.91635576 0.5111633 ],[0.90199661 0.66869253]
,[2.23660699 0.66857497],[1.96900562 0.34762589],,[0.34544392 1.39707888],[0.6330188 0.8797426],[1.16402592 0.18467631],,[0.87478161 1.80336994],[0.5100964  1.02079763]
,,,,[0.93709401 0.47012415],[0.51545383 1.22458583],[0.78651963 0.61608591],,,[0.43011816 2.47441852]
,,,,,,[1.02227927 0.28844506],,,
