0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0
[0.23078514 0.56673289],[0.06190832 0.98096158],[0.20037314 0.41165908],[0.57537854 0.84804743],[0.37332619 0.52836411],[0.15590526 0.5258924 ],[0.4310272  0.65060143],[0.3028255  0.33888022],[0.24579887 0.16021014],[0.59900815 0.19842657]
[0.09049606 1.52122379],[0.05043342 1.41378437],[0.01112622 0.87805059],[0.52082971 0.88677104],[0.27363167 0.61012409],[0.24703301 0.49103918],,[0.35201962 0.27666938],[0.59289182 0.15597918],[0.50653661 0.31475903]
[0.18298044 1.06212829],[0.0520921  1.18879655],[0.01254515 0.86872121],,,,,,[0.17633306 0.22508999],
[0.21064496 0.62768098],[0.47377632 0.84509808],[0.18030571 0.77813545],,,,,,,
